"Timestamp","How old are you?","How often do you read the news?","What news do you follow?","Do you prefer reading news:","How many articles do you read daily:","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [The breaking news feature in the iNewspaper is a convenient tool to follow up with latest news]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [If I had this newspaper, I will not need to go online for breaking news]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [Given the iNewspaper features, I prefer to go to an online news site to get latest news]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [Using the QR code to access latest news in iNewspaper was easy and intuitive]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [Using the QR code in iNewspaper to access the comments was easy and intuitive]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [Viewing a video over an image marker with a mobile phone in the manner demonstrated seems easy and efficient]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [It is easy to engage with comments in iNewspaper]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [Given the iNewspaper features, I will not need to go to an online news site to get latest news]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [If I followed the news through iNewspaper, I will not miss out on any current news update]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [If I used iNewspaper, I will actively engage with article comments]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [The comments feature, as laid out, will better inform me about the different topics]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [The comments feature in iNewspaper will make me engage more in discussions and debates]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [I will enjoy watching video laid out on iNewspaper]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [If it was available, I will buy iNewspaper regularly]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [iNewspaper provides all features I need to consume news]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [I will enjoy a product like iNewspaper]","Rate the following statements from 5-1: 5 best/highest/most likely, 1 worst/least/least likely [I will most probably build a network on iNewspaper]","Rank features of iNewspaper (1 is best) [Latest News]","Rank features of iNewspaper (1 is best) [Commenting]","Rank features of iNewspaper (1 is best) [Video Feature]","List features you would like to see in iNewspaper:"
"2020/03/07 11:49:50 am EET","Between 30 and 40","Several times a day","Politics;Other","Online","Between 1 and 5","4","3","4","4","4","4","5","2","3","4","4","4","4","3","3","3","4","2","1","1",""
"2020/03/07 3:37:42 pm EET","Between 30 and 40","Several times a day","Politics;Sports;Business","Online","Between 1 and 5","2","2","4","3","3","2","3","2","2","1","1","2","3","2","2","2","2","3","2","1",""
"2020/03/07 3:51:09 pm EET","Between 30 and 40","Several times a day","Politics;Business","Online","Between 1 and 5","5","5","2","5","5","5","5","4","3","5","5","5","5","5","4","5","3","1","1","1","I would like to speak (talk) to the inewspaper"
"2020/03/07 5:58:16 pm EET","Between 30 and 40","Several times a day","Politics;Arts & Entertainment","Online","Between 1 and 5","5","1","1","5","5","5","5","5","5","5","3","5","4","4","5","5","5","1","1","1",""
"2020/03/08 5:10:29 pm EET","Between 40 and 50","Once a Day","Politics;Sports;Business;Arts & Entertainment","Online","More than 10","4","2","3","5","5","4","5","1","2","3","3","3","4","3","2","2","3","3","1","2","Breaking news attached to social media of credible news outlets"
"2020/03/08 8:42:46 pm EET","Between 30 and 40","Several times a day","Politics;Sports;Arts & Entertainment;Other","Online","Between 1 and 5","5","4","3","4","5","5","5","3","3","2","4","3","5","3","5","3","1","3","2","1",""
"2020/03/08 9:12:57 pm EET","Between 30 and 40","Once a Day","Politics;Sports","Online","More than 10","4","4","2","4","4","5","5","5","5","4","3","3","5","5","4","4","3","1","2","1","Weather forecast"
"2020/03/09 1:59:20 pm EET","Between 20 and 30","Several times a day","Politics;Arts & Entertainment;Other","Online","Between 5 and 10","3","4","2","4","4","3","4","3","3","1","1","2","5","3","5","4","3","1","1","1",""
"2020/03/09 5:15:53 pm EET","Between 30 and 40","Several times a day","Politics;Arts & Entertainment","Online","Between 1 and 5","4","3","3","4","3","4","4","3","3","3","4","3","5","5","4","4","4","3","2","3","Social media trends worldwide "
"2020/03/09 6:02:19 pm EET","Between 30 and 40","Once a Day","Politics","Online","More than 10","4","5","1","5","5","5","5","5","4","5","5","5","5","5","5","5","4","3","1","2",""
"2020/03/11 5:13:35 pm EET","More than 50","Several times a day","Politics;Sports;Other","Online","Between 1 and 5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","2","3","1","Latest news and video demonstration"
"2020/03/11 5:26:12 pm EET","More than 50","Once a Day","Politics;Arts & Entertainment;Other","Paper","1 or less","4","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","2","1","3","cosmetics news "
